genomic_element	P_value_Enrichment	P_value_Depletion	Real_vs_simulated_ratio
2	coding	0	1	1.15804679586404
3	cpgIsland	0.872	0.128	0.839312459881606
4	exons	0.00800000000000001	0.992	1.12004139908858
6	intergenic	1	0	0.853301000879633
7	introns	0	1	1.18624219557894
9	ncRNA	0.536	0.464	0.979197869861874
10	promoters	0.676	0.324	0.945432426073533
11	protein-coding	0.00800000000000001	0.992	1.12723689208143
17	tts	0.048	0.952	1.17026086885931
18	utr3	0.616	0.384	0.965784200411711
19	utr5	0.304	0.696	1.07395895404206
