Name	PeakFile/Annotation	#features[ref=5759]	Coverage(bp)[ref=800102]	AvgFeatureSize[ref=138]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
promoters	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/promoters.ann.txt	41573	29728924	715	213	27370	11893	0.83	-57.02	1.72e-25
introns	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/introns.ann.txt	354159	961062954	2713	3125	423707	384474	0.10	-30.77	4.32e-14
protein-coding	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/protein-coding.ann.txt	449838	63349162	140	383	37420	25342	0.39	-21.42	4.99e-10
exons	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/exons.ann.txt	464162	68202392	146	405	39817	27284	0.38	-21.42	4.99e-10
coding	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/coding.ann.txt	370571	40790183	110	296	24379	16318	0.40	-14.98	3.12e-07
cpgIsland	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/cpgIsland.ann.txt	16026	10496250	654	62	7259	4199	0.55	-8.41	2.22e-04
utr5	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/utr5.ann.txt	57281	5125991	89	47	3936	2050	0.65	-6.52	1.48e-03
utr3	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/utr3.ann.txt	36310	24410721	672	106	13207	9765	0.30	-5.73	3.25e-03
tts	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/tts.ann.txt	41573	28031611	674	112	13708	11214	0.20	-3.51	2.98e-02
ncRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/ncRNA.ann.txt	10962	4238589	386	19	2091	1695	0.21	-1.37	2.54e-01
pseudo	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/pseudo.ann.txt	1317	657715	499	3	280	263	0.06	-0.57	5.68e-01
scRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/scRNA.ann.txt	1	57	57	0	0	0	0.00	-0.00	1.00e+00
miRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/miRNA.ann.txt	1825	193966	106	2	85	77	0.10	-0.00	1.00e+00
snRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/snRNA.ann.txt	2	219	109	0	0	0	0.00	0.00	1.00e+00
snoRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/snoRNA.ann.txt	145	11012	75	0	0	4	-1.39	0.03	9.69e-01
rRNA	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/rRNA.ann.txt	71	8762	123	0	0	3	-1.10	0.03	9.75e-01
centromeres	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/centromeres.ann.txt	21	63000000	3000000	0	0	25203	-10.13	185.58	2.53e-81
gaps	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/gaps.ann.txt	1011	105419354	104272	0	0	42173	-10.65	313.97	4.41e-137
intergenic	/Users/benayoun/Softwares/HOMER/.//data/genomes/mm9//annotations/basic/intergenic.ann.txt	18252	1664178045	91177	2295	318375	665756	-0.74	2760.69	0.00e+00
